Time_s,RawTarget_deg,Reference_deg,ReferenceRate_rad_s,ReferenceAccel_rad_s2,ActualFFOn_deg,ActualRateFFOn_rad_s,CurrentFFOn_count,ErrorFFOn_deg,ActualFFOff_deg,ActualRateFFOff_rad_s,CurrentFFOff_count,ErrorFFOff_deg
0,-0.078125,0,1.06189511,0.556241555,0,1.06189511,-60.4610385869565,0,0,1.06189511,0,0
0.001,-0.0181249999999999,0.060883605950326,1.0624513532,0.98296442924,0.0608108906015574,1.0608054141345,-135.074021996106,7.27153487614268e-05,0.0607949554548117,1.0602491725795,-37.7055593117215,8.86504955081808e-05
0.002,0.0418750000000001,0.121767211900652,1.0630075964,1.40968730348,0.121579059657786,1.06040384674496,-198.433097262672,0.000188152242853068,0.121505616427967,1.05895267750767,-70.1657093641209,0.000261595472672567
0.003,0.101875,0.182716486533187,1.06400371088,1.83581631752,0.182340937383685,1.06058580527732,-259.851053601803,0.000375549149514832,0.182150606491373,1.05795682538368,-105.952730693928,0.000565880041816823
0.004,0.161875,0.243765992312253,1.06567120784,2.26103891336,0.243129419838355,1.06133252697227,-323.516023400277,0.000636572473910529,0.242748014699405,1.05729175742672,-148.577217428198,0.00101797761284388
0.005,0.221875,0.304815498091319,1.0673387048,2.6862615092,0.303977432713748,1.06266380897075,-376.902209019974,0.000838065377579377,0.303318580986936,1.05701986560305,-184.789796779074,0.0014969171043797
0.006,0.281875,0.366127375179108,1.06988285568,3.1092715444,0.364915733808798,1.06448418038983,-437.857361932313,0.00121164137030626,0.363883125302258,1.05708155094173,-232.149884546915,0.00224424987686167
0.007,0.341875,0.427508297348141,1.07265770496,3.5316993268,0.425974319046925,1.06686251764,-492.860293863405,0.00153397830122241,0.424463683440529,1.0575788534756,-276.460974147262,0.00304461390761205
0.008,0.401875,0.488982237931788,1.0756388184,3.95327771512,0.487183563968472,1.0697431954412,-542.358584274105,0.00179867396331308,0.485084391489527,1.05848304721487,-317.794032149109,0.00389784644225358
0.009,0.461875,0.550859258312095,1.0795137432,4.37117539576,0.548570777454301,1.07307479246359,-600.59458427794,0.00228848085779672,0.545767759638599,1.05976610358746,-370.341685283291,0.00509149867349768
0.01,0.521875000000001,0.612736278692403,1.083388668,4.7890730764,0.610164078165828,1.07693699671063,-648.360110622426,0.0025722005265857,0.606538434019809,1.06153060963151,-414.136555682731,0.0061978446726035
0.011,0.581875000000001,0.674997925768924,1.08789841776,5.20295694136,0.671991084492228,1.08123265738345,-700.208283865041,0.00300684127669031,0.667421671400434,1.06369529349886,-463.918676499353,0.00757625436848119
0.012,0.641875000000001,0.737534306199884,1.09286161392,5.61397379512,0.734077688434811,1.08599866297607,-751.574110826505,0.00345661776506571,0.728441960514442,1.06631461761773,-514.713332865358,0.00909234568545236
0.013,0.701875000000001,0.800070686630844,1.09782481008,6.02499064888,0.796450690759624,1.09122984686806,-792.967642659862,0.00361999587122119,0.789625597005955,1.06939719262278,-556.490999279704,0.0104450896248791
0.014,0.761875000000001,0.863410372546083,1.10383606488,6.4261965196,0.859134095260114,1.09683374291788,-848.350880163633,0.00427627728596001,0.850996726102155,1.07285934416759,-614.131148990687,0.0124136464439211
0.015,0.821875000000001,0.92676715006737,1.1098696188,6.827193646,0.922152927354922,1.10293847871387,-893.274845635773,0.00461422271243857,0.912581259807359,1.07684641875485,-661.844811138051,0.0141858902600107
0.016,0.881875000000001,0.990490738194318,1.11629477064,7.22289705448,0.98553310415645,1.10944705265171,-937.45852085431,0.00495763403785853,0.974406634456786,1.08126627906825,-709.810470482558,0.0160841037375418
0.017,0.941875000000001,1.0548256773307,1.12337258568,7.60977759976,1.04929755084238,1.11635202811196,-986.696625612145,0.00552812648831975,1.03649769404499,1.08612057266413,-764.039262545926,0.0183279832857049
0.018,1.001875,1.11916061646708,1.13045040072,7.99665814504,1.11347029409344,1.12369929142402,-1025.43321267995,0.00569032237364902,1.0988809611898,1.09146624699192,-807.811465590515,0.0202796552772719
0.019,1.061875,1.18436754277623,1.13830483392,8.3686331012,1.17807388771127,1.13139154307897,-1073.11817931787,0.00629365506495363,1.16158181216916,1.09720633979252,-862.170308411479,0.0227857306070665
0.02,1.121875,1.24983370851512,1.1463901536,8.736176666,1.24313044119311,1.13951057343692,-1115.5736569431,0.00670326732202389,1.22462561820407,1.10343763680323,-911.522737402149,0.0252080903110426
0.021,1.181875,1.31551284110802,1.15463499712,9.09941348264,1.30866300991947,1.14800760969197,-1151.91327104694,0.00684983118856099,1.28803918191774,1.11011331765028,-954.907885543387,0.0274736591902684
0.022,1.241875,1.38225680797095,1.16367745984,9.44111655848,1.37469162334725,1.15682579999058,-1198.19234326288,0.00756518462370797,1.35184637215592,1.11717779455492,-1010.20351640358,0.0304104358150126
0.023,1.301875,1.44900077483387,1.17271992256,9.78281963432,1.44123728763652,1.16605608955861,-1233.66200938288,0.0077634871973496,1.41607258716141,1.12474004132427,-1053.98396029091,0.0329281876724693
0.024,1.361875,1.51654101130518,1.1822629264,10.10552225072,1.50832074710381,1.17559839310612,-1272.17600036405,0.0082202642013842,1.48074328999412,1.1326933466949,-1102.24427365485,0.0357977213110694
0.025,1.421875,1.58470056858303,1.19219524,10.413446732,1.57596066734259,1.18548023480015,-1310.39228292581,0.00873990124042292,1.54588205001381,1.14107831932515,-1150.92661538746,0.0388185185692181
0.026,1.481875,1.65286012586087,1.2021275536,10.72137121328,1.64417640891452,1.19569834943913,-1338.6337779361,0.00868371694634459,1.6115136919948,1.14989817279176,-1188.59763251721,0.0413464338660559
0.027,1.541875,1.72249724384369,1.2128283432,10.98780768,1.7129845949473,1.20616044775451,-1377.82606440612,0.00951264889638805,1.6776602113119,1.15905092884309,-1240.81514754338,0.0448370325317962
0.028,1.601875,1.79219860359629,1.2235625448,11.25244032,1.78240208003897,1.21696689885303,-1407.50431338246,0.00979652355732154,1.74434450097943,1.16866989926078,-1282.2014487455,0.0478541026168665
0.029,1.661875,1.86248541510755,1.23454082016,11.49776844,1.85244607133466,1.22802963984292,-1434.57086011245,0.0100393437728744,1.81159039772997,1.17865471424538,-1321.71840073091,0.0508950173775828
