Time_s,RawTarget_deg,Reference_deg,ReferenceRate_rad_s,ReferenceAccel_rad_s2,ActualFFOn_deg,ActualRateFFOn_rad_s,CurrentFFOn_count,ErrorFFOn_deg,ActualFFOff_deg,ActualRateFFOff_rad_s,CurrentFFOff_count,ErrorFFOff_deg
0,-0.078125,0,2.33658493,-5.89224351,0,2.33658493,640.461251086957,0,0,2.33658493,0,0
0.001,0.0218750000000001,0.133612704315551,2.3306926868,-13.4407603676,0.133603900367782,2.3270709798485,1399.96907308297,8.80394776979919e-06,0.133772700710275,2.3329632233585,39.390402492159,-0.000159996394723298
0.002,0.121875,0.266763648032591,2.3196403236,-20.99764794,0.266462937678552,2.31058430435737,2127.77545696129,0.000300710354029313,0.267327671976894,2.32898473865937,161.403257159472,-0.0005640239443007
0.003,0.221875,0.399320899551545,2.3019535204,-28.56529786,0.39818626906674,2.28742736448157,2852.08397650357,0.00113463048479512,0.400622711743496,2.32388990234858,378.733573387124,-0.00130181219194384
0.004,0.321875,0.53002954385996,2.2739203252,-36.160259876,0.528392934621989,2.25764267948279,3644.39841251649,0.00163660923797765,0.53356878541901,2.31680352412478,747.839819756057,-0.00353924155905572
0.005,0.421875,0.659482395476255,2.24069869,-42.8411394,0.656685563141797,2.22061486793444,4297.85937658421,0.00279683233445565,0.666011872336928,2.30633235232063,1152.92946513964,-0.0065294768606802
0.006,0.521875000000001,0.78675349400748,2.19931421,-47.50245364,0.782686071972245,2.17763260862457,4768.11986046935,0.00406742203523051,0.797748704604002,2.29215058609524,1643.9722427361,-0.010995210596525
0.007,0.621875000000001,0.911001380274331,2.1524672532,-49.307246744,0.906101845215799,2.13039057536489,4951.4069662047,0.00489953505853851,0.92854419172862,2.27347320805363,2166.8917528599,-0.0175428114542794
0.008,0.721875000000001,1.0334134171756,2.10354968,-50,1.02676463982707,2.08153552588399,5014.6385144555,0.00664877734853248,1.05813255230126,2.25001392045483,2648.9227513283,-0.024719135125669
0.009,0.821875000000001,1.15223696898569,2.05354968,-50,1.14461375032211,2.03217447148588,5018.0772414924,0.00762321866358206,1.18625079202338,2.22215630956591,3091.06816377699,-0.0340138230376955
0.01,0.921875000000001,1.26826287330638,2.00354968,-50,1.25963596625447,1.98285829043334,5022.05138430815,0.00862690705191818,1.31265761310609,2.19027414017933,3473.66725002049,-0.0443947397997089
0.011,1.021875,1.38233042461368,1.95354968,-50,1.37183371557041,1.93358198734754,5020.20039750413,0.0104967090432701,1.4371382981051,2.15492147656186,3798.13425120302,-0.0548078734914282
0.012,1.121875,1.49220150812465,1.90354968,-50,1.48121081661295,1.88439909161011,5030.23920843029,0.0109906915116906,1.55950947777916,2.11663851316213,4088.96588881624,-0.0673079696545186
0.013,1.221875,1.59983447547757,1.85354968,-50,1.58776948339919,1.83520007230055,5035.65441838731,0.01206499207838,1.67961225339188,2.07573923728961,4335.5639904886,-0.0797777779143167
0.014,1.321875,1.70522932667244,1.80354968,-50,1.69151001143142,1.78602749153933,5037.16413851722,0.0137193152410055,1.79730849567265,2.03263465275932,4543.80566687201,-0.0920791690002195
0.015,1.421875,1.80642771007097,1.75354968,-50,1.79243494368609,1.73691723885308,5050.07879686322,0.0139927663848867,1.91248205690982,1.98768105691232,4733.5004218621,-0.10605434683884
0.016,1.521875,1.90566774183122,1.70354968,-50,1.89054484263901,1.68776429220172,5055.85020551495,0.0151228991921941,2.02503196690004,1.94105194739298,4890.02327061687,-0.119364225068819
0.017,1.621875,2.0021101283939,1.65354968,-50,1.98583914668104,1.63863443565807,5061.87536641014,0.0162709817128659,2.13487104298831,1.89305510278484,5024.19190240086,-0.132760914594416
0.018,1.721875,2.09491557619976,1.60354968,-50,2.0783191108735,1.58952529891182,5074.41854984381,0.0165964653262686,2.24192687215029,1.84389830187344,5145.25278253178,-0.147011295950541
0.019,1.821875,2.18576267236733,1.55354968,-50,2.16798420355946,1.54037688403995,5079.87715147222,0.0177784688078737,2.34613649997906,1.79370393390624,5242.20288644733,-0.160373827611716
0.02,1.921875,2.27325259429783,1.50354968,-50,2.25483404322874,1.49125443007614,5089.83684036802,0.01841855106909,2.44744687898401,1.74269542625337,5328.89361466609,-0.174194284686191
